число комнат,м2,время до метро,стоимость
1,24,10,1000000
1,34,5,1500000
1,29,15,1200000
1,27,30,900000
1,28,10,1100000
1,25,7,874741
2,45,12,1810719
1,33,11,1015883
2,42,14,1795597
1,20,10,1007258
1,24,11,983806
1,20,7,1106861
2,37,13,1423493
2,46,10,1749320
2,45,7,1202562
2,42,11,1866264
2,39,13,1729873
1,34,6,961746
2,46,12,1278761
2,35,8,1539078
2,37,5,1440961
2,37,11,1831199
1,29,13,855654
2,46,7,1242590
1,32,11,1075965
2,36,8,1632439
2,47,6,1666040
1,29,6,1170019
2,45,8,1384442
2,44,14,1259591
1,21,13,867032
1,30,10,1188148
2,35,11,1860161
2,36,14,1653051
2,46,8,1268186
2,42,14,1576180
2,49,8,1666982
1,23,10,915903
1,31,13,1195674
1,24,10,1112939
1,32,6,896404
2,37,5,1560550
2,45,5,1387088
2,40,13,1534020
1,26,8,891210
2,44,9,1738294
2,35,10,1328434
1,26,8,820409
1,20,11,846356
1,25,13,1138995
1,28,9,1029782
2,35,9,1536431
2,37,14,1348171
2,35,8,1477211
1,30,10,907599
1,34,9,1015278
1,34,14,947514
2,38,10,1445166
2,47,10,1659435
1,28,11,966138
1,27,6,864285
1,22,14,807594
1,20,10,1116489
1,23,12,1092507
1,32,10,949724
2,37,5,1870599
2,38,5,1529492
2,39,6,1248480
1,30,14,1104848
1,29,6,1173854
2,43,12,1890636
2,41,14,1670215
1,21,13,1179743
1,24,5,1109307
1,24,10,1019630
1,20,14,1179205
1,32,8,851060
1,32,11,1037432
1,30,8,1137214
1,26,12,1083130
1,27,12,991848
2,36,13,1229104
1,28,6,1128305
1,28,14,871244
2,47,11,1813642
2,48,8,1253360
2,43,12,1203018
2,46,14,1768918
1,30,9,837966
2,46,11,1718309
2,48,7,1353514
1,34,5,941479
1,30,13,1041535
2,49,10,1502466
1,27,12,1031808
2,47,14,1714883
2,37,14,1730131
2,36,11,1433583
1,28,11,1064583
2,47,5,1702107
2,35,11,1744178
2,45,11,1464085
2,41,6,1201417
1,23,7,830533
1,34,5,997399
